file_name,path_from_dir,drums_path,no_drums_path
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
136054.mp3,/content/drive/MyDrive/train_file/small_demo_set/1/136054.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136054/no_drums.mp3
136466.mp3,/content/drive/MyDrive/train_file/small_demo_set/2/136466.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/drums.mp3,/content/drive/MyDrive/train_file/mdx_extra/136466/no_drums.mp3
